,,Dimension of Athelete,,,
Athelete Personal Data,,,,,
ID,Name,Sex,Age,Height,Weight
116416,Julius Sumaye,M,31,166,64
116417,Cahit Sme,M,24,178,67
116418,Ion Sumedrea,M,26,NA,NA
116419,John Zoltan Sumegi,M,21,182,85
116420,Holger Rafael Sumelius,M,34,NA,NA
116421,Gustaf Oscar Sumelius,M,42,NA,NA
116422,Cevdet Smer,M,37,171,65
116423,Fahri Smer,M,25,168,60
116424,Jemima Jelagat Sumgong,F,31,160,45
116425,Hansjrg Sumi,M,21,164,56
116426,Roger John Leonard Sumich,M,28,173,74
116427,Osamu Sumida,M,26,182,65
116428,Satoshi Sumida,M,21,177,65
116429,Tomio Sumimoto,M,19,168,70
116430,Kosaku Sumiyoshi,M,20,174,68
116431,Miyako Sumiyoshi,F,26,162,56
116432,Raimo Olavi Summanen,M,21,181,84
116433,Teemu Tapio Summanen,M,17,171,54
116434,Anton Summer,M,24,183,78
116435,Johann Summer,M,20,182,77
116436,Katie Louise Summerhayes,F,18,171,68
116437,Brodie Summers,M,20,183,83
116438,Dorothy Summers,F,18,156,51
116439,George F. Summers,M,NA,NA,NA
116440,John Harold Summers,M,34,NA,NA
116441,John F. Summers,M,22,NA,NA
116442,"Thomas Philip ""Tony"" Summers",M,24,NA,NA
116443,Laura Ann Summerton-Hodges,F,20,190,78
116444,Rosalynn Diane Sumners (-Kain),F,19,155,47
116445,Herbert Clayton Sumney,M,34,NA,NA
116446,Igor Sumnikov,M,21,184,74
116447,Irina Vladimirovna Sumnikova (Sviridenko-),F,23,170,60
116448,"Kristiono ""Kris"" Sumono",M,17,NA,NA
116449,Sumol Sumontame,M,28,171,77
116450,Prasert Sumpradit,M,29,173,75
116451,Sarat Sumpradit,M,22,181,94
116452,Yury Sumtsov,M,20,178,77
116453,Sun Chao,F,25,169,59
116454,Sun Dan,F,15,166,56
116455,Sun Dan,F,21,177,57
116456,Sun Dandan,F,19,162,58
116457,Sun Dongmei,F,21,163,58
116458,Sun Fengwu,M,22,190,85
116459,Sun Fuming,F,22,178,124
116460,Gregory Sun,M,31,183,86
116461,Sun Guangxia,F,24,181,78
116462,Sun Guoqiang,M,33,175,67
116463,Sun Hongyun,F,26,170,56
116464,Sun Huizi,F,18,182,69
116465,Sun Jie,M,20,182,69
116466,Sun Jin,F,20,166,60
116467,Sun Jinshun,M,29,168,80
116468,Jue-Fen Sun,F,35,176,69
116469,Sun Jun,M,22,197,100
116470,Sun Jun,M,21,175,65
116471,Sun Jun,M,21,200,98
116472,Sun Kuang-Ming,M,23,170,90
116473,Sun Laimiao,F,23,176,74
116474,Sun Li,F,27,170,63
116475,Sun Lingfeng,M,29,173,67
116476,Sun Linlin,F,21,161,56
116477,Sun Longjiang,M,17,194,85
116478,Sun Man,F,27,176,64
116479,Sun Man,M,20,188,70
116480,Sun Meichen,F,17,175,63
116481,Sun Mengran,F,24,195,83
116482,Sun Mengxin,F,23,190,84
116483,Sun Mi-Sook,F,20,178,65
116484,Sun Ping,M,24,180,63
116485,Sun Qinghai,M,22,188,83
116486,Sun Qingmei,F,30,162,56
116487,Sun Qiuting,F,22,171,55
116488,Sun Ribo,F,21,165,55
116489,Sun Rui,F,19,169,60
116490,Sun Senlin,M,24,196,90
116491,Sun Shuwei,M,16,155,45
116492,Sun Sinan,F,23,168,70
116493,Sun Sumei,F,19,170,58
116494,Sun Tianjun,M,21,172,68
116495,Sun Tiantian,F,22,175,64
116496,Sun Wei,M,31,170,85
116497,Sun Wei,M,23,193,69
116498,Sun Wen,F,23,162,60
116499,Sun Wenyan,F,22,170,58
116500,Sun Xiao,F,24,167,57
116501,Sun Xiaolei,M,22,180,70
116502,Sun Xiaoping,M,21,NA,NA
116503,Sun Xiulan,F,23,168,63
116504,Sun Yanan,F,23,161,51
116505,Sun Yang,M,16,198,89
116506,Sun Yating,F,20,180,76
116507,Sun Yawei,F,24,169,60
116508,Sun Ye,F,19,169,61
116509,Sun Yih-Shong,M,25,173,78
116510,Sun Yingjie,F,25,164,50
116511,Sun Yiwen,F,24,177,63
116512,Sun Yue,F,19,186,76
116513,Sun Yue,M,22,206,95
116514,Sun Yujie,F,19,185,78
116515,Sun Yujun,F,21,168,65
116516,Sun Zhifeng,F,14,158,58
116517,"Clifton S. ""Cliff"" Sunada",M,25,NA,60
116518,Sadahiro Sunaga,M,NA,NA,NA
116519,Yuki Sunaga,F,31,171,62
116520,Francisco Sunara,M,30,NA,NA
116521,Ivan Sunara,M,25,203,95
116522,Rade Sunara,M,22,NA,NA
116523,Sunarto,M,29,157,62
116524,Carl-Johan Sund,M,42,NA,NA
116525,Heidi Sundal,F,25,181,75
116526,Olav Johan Sundal,M,20,NA,NA
116527,Ibrahim Sunday,M,24,168,61
116528,Johnson Sunday,M,19,182,79
116529,"Arne Enar ""Arnie"" Sundberg",M,26,NA,NA
116530,Harry Fritz Klas Sundberg,M,26,NA,NA
116531,Ingrid Maria Sundberg (-Nilsson),F,19,161,45
116532,Jaana Sundberg,F,29,164,52
116533,"Nils Johan ""John"" Sundberg",M,35,177,79
116534,Maud Elisabeth Sundberg (-Nrklit),F,16,NA,NA
116535,Sven Nils Patrik Sundberg,M,22,169,71
116536,Per Lennart Harald Sundberg,M,23,184,77
116537,Eric Gustav Sundblad,M,22,NA,NA
116538,Jon Christoffer Sundby,M,21,171,72
116539,Martin Johnsrud Sundby,M,25,174,72
116540,Siren Sundby,F,17,165,54
116541,Tom Sundby,M,23,185,75
116542,Sigrid Milfrid Sundby-Dybedahl,F,25,172,74
116543,Arthur Trygve Sundbye,M,24,NA,NA
116544,Arne Toralf Sunde,M,28,NA,NA
116545,Arnulf Sunde,M,24,184,87
116546,Olav Sunde,M,24,180,77
116547,Per Martin Sunde,M,19,NA,NA
116548,Jrgen Lars Sundelin,M,23,181,70
116549,Peter Nils Sundelin,M,21,191,87
116550,Lars Stefan Sundelin,M,40,182,78
116551,Ulf Artur Sundelin,M,25,185,73
116552,Leif Reijo Sundn,M,18,168,50
116553,"Daniel Alrik ""Dan"" Sundn-Cullberg",M,25,NA,NA
116554,Simon Swamidas Sunder Raj,M,22,173,63
116555,"Jennifer Lee ""Jenny"" Sunderland (-Couch)",F,18,161,50
116556,Julene Sunderland (-Grant),F,25,164,54
116557,Paul Benedict Sunderland,M,32,195,86
116558,Scott Sunderland,M,24,178,92
116559,Henning Leopold Sundesson,M,27,NA,NA
116560,Sndeviin Byambatseren,F,22,162,55
116561,Kip Gordon Sundgaard,M,19,NA,NA
116562,Nils Gustaf Sundh,M,25,NA,NA
116563,Pia Mariane Sundhage,F,36,NA,NA
116564,Karl Ludvig Sundholm,M,27,NA,NA
116565,"Carl Axel Gunnar ""Carl-Gunnar"" Sundin",M,26,NA,NA
116566,Mats Johan Sundin,M,26,193,100
116567,Karl Ronnie Sundin,M,35,186,100
116568,Johan Adolf Sundkvist,M,22,168,65
116569,Gunnar Isidor Sundman,M,19,NA,NA
116570,Carl Edward Sundquist,M,26,183,79
116571,Nils Jrgen Sundqvist,M,21,178,75
116572,Karl-Axel Sundqvist,M,21,184,88
116573,Gunnevi Monica Susann Sundqvist,F,18,178,61
116574,Kati Susanna Sundqvist-Venlinen,F,22,164,58
116575,Pia Ann-Katrine Sundstedt,F,25,168,52
116576,"Rebecca Lynn ""Becky"" Sundstrom (-Thometz)",F,21,170,63
116577,Einar Alexander Sundstrm,M,28,NA,56
116578,Holger Bertil Sundstrm,M,39,186,85
116579,Lars Niklas Sundstrm,M,22,183,91
116580,Sixten Erik Axel Sundstrm,M,26,NA,NA
116581,Tryggve Andreas Sundstrm,M,35,NA,NA
116582,Richard Sunee,M,29,152,51
116583,Gitte Jensby Sunesen,F,24,NA,NA
116584,Karl Ossian Militz Suneson,M,25,179,83
116585,Sung Ching-Yang,M,21,168,66
116586,Sung Na,F,18,166,62
116587,Sung Tsong-Wei,M,NA,NA,NA
116588,Sung Yi-Chieh,F,18,164,57
116589,Sung Yu-Chi,M,26,174,68
116590,Leo Olavi Suni,M,20,NA,NA
116591,Leane Suniar,F,28,163,63
116592,Gunnar Mattias Sunneborn,M,25,187,85
116593,Vicky Sunohara,F,27,170,75
116594,Nozomi Sunouchi,F,19,164,56
116595,Inkululeko Suntele,M,22,NA,NA
116596,Jorma Ilmari Suokko,M,23,172,76
116597,Roope Samuel Suomalainen,M,27,180,81
116598,Klaus Uuno Suomela (Lindholm-),M,23,NA,NA
116599,Olavi Akseli Suomela,M,23,177,80
116600,Pekka Juhani Suomela,M,34,171,73
116601,Heidi Johanna Suomi,F,21,176,56
116602,Petri Juhani Suominen,M,17,186,78
116603,Kalevi Ensio Suoniemi,M,25,164,63
116604,Tauno Johannes Suoniemi,M,24,NA,67
116605,Seppo Sihveri Suoraniemi,M,28,176,78.5
116606,Tommy Roger Suoraniemi,M,23,164,65
116607,Pekka Antero Suorsa,M,20,175,56.5
116608,Hamid Supaat,M,19,166,57
116609,Puttita Supajirakul,F,20,184,72
116610,Bedich upk,M,25,NA,NA
116611,Alfons Supersaxo,M,21,NA,NA
116612,Sitthisak Suphalak,M,24,164,69
116613,Claire Supiot (-Carrier),F,20,170,61
116614,Andrej upka,M,23,181,76
116615,Luc Suplis,M,24,186,85
116616,Zoltn Supola,M,21,171,62
116617,Krzysztof Supowicz,M,20,177,73
116618,"Phang Cue ""P. C."" Suppiah",M,23,168,54
116619,"Anthony ""Tony"" Supple",M,22,170,83
116620,Francesco Suppo,M,32,NA,NA
116621,Michela Suppo,F,20,163,64
116622,Bambang Supriyanto,M,26,173,69
116623,Joko Supriyanto,M,25,173,68
116624,Andrzej Supron,M,19,169,66
116625,Marina Pavlovna Suprun,F,26,182,87
116626,Eva uranov (Kucmanov-),F,26,172,58
116627,Khatijah Surattee,F,38,155,52
116628,Andrey Aleksandrovich Suraykin,M,23,170,68
116629,Bolesaw Surao-Gajduczeni,M,NA,NA,NA
116630,Dragutin urbek,M,45,NA,NA
116631,Dimitriana Surdu,F,22,174,93
116632,Eliza Beata Surdyka,F,20,162,58
116633,Nuray Tezeta Srekli (Desalgn-Dengersa-),F,24,160,50
116634,Soubam Suresh Singh,M,20,163,48
116635,Glenn N. R. Surgeloose,M,18,182,82
116636,"Dorothy Louise Surgenor (Lynch-, Modenese-, -Ronning)",F,24,NA,NA
116637,Eurico Rocha Surgey,M,20,NA,NA
116638,Reto Suri,M,24,183,84
116639,Francisco Suriano Sui Chon Him,M,17,180,74
116640,"Jacoba ""Coba"" Surie",F,48,NA,NA
116641,Bruny Surin,M,21,180,81
116642,Marijana urkovi,F,16,175,66
116643,Roger Surmin,M,29,178,65
116644,"Lawrence Carmen ""Larry"" Surock",M,21,NA,NA
116645,Saad Surour Mas'ud Surour Beniyas,M,22,173,64
116646,Nikolay Vasilyevich Surov,M,21,190,89
116647,Tom Surov,M,24,183,87
116648,Roland Surrugue,M,22,178,77
116649,Ion Suru,M,24,NA,NA
116650,Maman Suryaman,M,21,157,52
116651,Rio Suryana,M,23,175,64
116652,Sarjarao Bhiku Suryavanshi,M,NA,NA,NA
116653,Surzer,M,NA,NA,NA
116654,Bernhard S,M,23,180,66
116655,Birgit S (-Saul),F,18,164,50
116656,Christian S,M,23,186,77
116657,Katsuaki Susa,M,27,163,NA
116658,Luciano Suanj,M,27,185,73
116659,"Lucia Francisca ""Susi"" Susanti Haditono",F,21,161,NA
116660,Debby Susanto,F,27,161,51
116661,Erwin Heru Susanto,M,26,175,68
116662,Hermawan Susanto,M,24,170,62
116663,Viorica Susanu,F,20,186,77
116664,Herman Johan Suselbeek,M,24,183,85
116665,Anton Suseno,M,20,178,70
116666,Maksim Yuryevich Sushinsky,M,31,172,80
116667,Timo Antero Susi,M,21,179,78
116668,Ronald Susilo,M,25,177,67
116669,Shane Suska,M,27,176,85
116670,Tadas ukeviius,M,23,177,64
116671,Leszek Suski,M,22,168,58
116672,Marian Franciszek Suski,M,26,172,65
116673,Pavel Sukov,M,22,193,84
116674,Radoslav Suslekov,M,22,177,65
116675,Sergey Petrovich Suslin,M,27,171,63
116676,Viktor Nikolayevich Suslin,M,24,190,99
116677,Yury Nikolayevich Suslin,M,29,185,93
116678,Inna Yevgenyevna Suslina,F,29,184,79
116679,Iraida Suslova (-Akvilyova),F,25,NA,NA
116680,Esther Sss,F,38,167,54
116681,Henri Lon Victor Susse,M,55,NA,NA
116682,Christina Sussiek (-Echte),F,24,166,54
116683,Hansruedi Sssli,M,24,172,66
116684,Miroslav ustera,M,28,NA,NA
116685,Izidor uteri,M,28,185,80
116686,Matic uteri,M,20,174,75
116687,Vratislav ustr,M,29,184,80
116688,Czesaw Gerard Suszczyk,M,30,168,61
116689,Agata Katarzyna Suszka,F,20,170,61
116690,Mon Redee Sut Txi,F,22,167,64
116691,Khassaraporn Suta,F,28,150,57
116692,Albert Christiadi Sutanto,M,24,175,63
116693,Felix Christiadi Sutanto,M,24,175,67
116694,Glenn Victor Sutanto,M,26,183,74
116695,"Dorothy ""Dottie"" Sutcliffe",F,13,155,58
116696,John Sutcliffe,M,23,NA,NA
116697,"Phillip ""Phil"" Sutcliffe",M,20,165,54
116698,Tina utej,F,23,173,58
116699,Fabienne Suter,F,25,167,63
116700,Gal Suter,M,24,176,70
116701,Gary Lee Suter,M,33,183,93
116702,Patric Suter,M,27,192,115
116703,"Robert Allen ""Rob"" Suter",M,22,175,81
116704,Ryan Suter,M,25,185,91
116705,"Kenneth ""Wes"" Suter",M,24,178,73
116706,Aurel uteu,M,22,167,63
116707,Simeon utev,M,25,150,50
116708,Annika Suthe,F,18,175,78
116709,Charlotte Sutherland,F,25,180,76
116710,Darren John Sutherland,M,26,182,75
116711,Diana Margaret Sutherland (-Turner),F,17,169,67
116712,Ernest George Sutherland,M,30,NA,NA
116713,Gavin Ben Sutherland,M,37,186,78
116714,Hector Easdale Sutherland,M,20,NA,NA
116715,Hugh Robert Sutherland,M,25,NA,NA
116716,Ivan Carl Sutherland,M,25,183,86
116717,Kenneth Charles Sutherland,M,25,174,70
116718,Rachel Anne Sutherland (-Steinmetz),F,28,172,60
116719,Stephen Robert Sutherland,M,17,160,48
116720,Khunakorn Suthisod,M,22,174,59
116721,Istvn Suti,M,21,170,66
116722,Arto Juhani Sutinen,M,25,184,74
116723,Matti Sutinen,M,26,181,70
116724,Jzsef St,M,27,174,58
116725,Masatoshi Suto,M,22,173,67
116726,Supriyati Sutono,F,32,160,47
116727,Emil Sutor,M,48,NA,NA
116728,Alfred Sutter,M,21,NA,NA
116729,August Sutter,M,25,NA,NA
116730,Katharina Sutter,F,33,172,78
116731,Patrick Sutter,M,31,175,78
116732,"Ulrich ""Ueli"" Sutter",M,25,181,70
116733,Ussadate Sutthikunkarn,M,23,164,58
116734,Taryn Suttie,F,25,183,103
116735,Kellie D. Suttle (-Dolrenry),F,27,170,59
116736,Andreas Suttner,M,35,NA,NA
116737,Sigmund Suttner,M,27,172,67
116738,Ann Hardaway Sutton (-Taylor),F,29,170,66
116739,"Robert Mandel ""Bob"" Sutton",M,21,NA,NA
116740,"Mervyn Ernest ""Bunoo"" Sutton",M,23,NA,NA
116741,Cheryl A. Sutton (Fowler-),F,41,160,72
116742,Chloe Elizabeth  Sutton,F,16,173,66
116743,Garry John Sutton,M,20,179,72
116744,Harvey Vincent Sutton,M,26,171,NA
116745,Henry Cecil Sutton,M,39,NA,NA
116746,"Lionel David ""Leonel"" Sutton",M,NA,NA,NA
116747,Marian Rosemarie Sutton-Witts,F,36,183,67
116748,"Walter John ""Pete"" Sutton",M,19,NA,NA
116749,Peter Joseph Sutton,M,NA,NA,NA
116750,"Reginald James Curshing ""Reg"" Sutton",M,19,190,NA
116751,Roger Macklin Sutton,M,27,178,72
116752,"Bernard Harold ""Tom"" Sutton",M,31,NA,NA
116753,"Tamara Kim ""Tammy"" Sutton-Brown",F,22,193,94
116754,Julie Sutton-Skinner,F,33,173,64
116755,Jol Suty,M,16,167,62
116756,Nataliya Viktorovna Sutyagina,F,20,172,55
116757,Riho Suun,M,28,181,75
116758,Geir Suursild,M,17,187,87
116759,Aldo Suurvli,M,25,187,76
116760,Katri Johanna Suutari,F,24,172,73
116761,Seppo Juhani Suutari,M,19,178,81
116762,Taisto Juhani Suutarinen,M,24,164,61.5
116763,Jane Suuto,F,33,176,58
116764,Vclav Sva,M,26,179,90
116765,Zlatomir uvaki,M,22,177,78
116766,Zvone uvak,M,25,182,81
116767,Prasan Suvannasith,M,NA,NA,NA
116768,Ilkka Tuukanpoika Suvanto,M,17,182,82
116769,Tauno Johannes Suvanto,M,23,182,73
116770,Mehmet Suvar,M,29,172,83
116771,Wanchai Suvaree,M,NA,NA,NA
116772,Suvdyn Tuul,F,18,170,64
116773,Raymond Andr Marie Suvigny,M,21,NA,59
116774,Sten Suvio (Schuschin-),M,24,170,66.5
116775,Timo Bruno Suviranta,M,22,188,NA
116776,Vin Armas Suvivuo (Sderstrm-),M,35,185,79
116777,Mihly Svlts,M,26,179,77
116778,Aleksey Edmundovich Suvorov,M,22,185,NA
116779,Yury Yuryevich Suvorov,M,21,188,84
116780,Yelizaveta Mikhaylovna Suvorova,F,25,170,53
116781,Gabriela Suvov (-Lehk),F,20,163,57
116782,Toshinari Suwa,M,27,178,58
116783,Rashid Shami Suwaid,M,18,NA,NA
116784,Sompote Suwannarangsri,M,23,173,69
116785,Pravit Suwanwichit,M,26,176,63
116786,Chatree Suwanyod,M,26,170,54
116787,"Ernest Emil ""Ernie"" Suwara, Jr.",M,19,189,84
116788,"Rudolph ""Rudy"" Suwara",M,26,188,82
116789,Sittichai Suwonprateep,M,19,180,78
116790,Philippa Suxdorf,F,24,167,58
116791,Donald Suxho,M,28,195,98
116792,Mieke Suys,F,32,164,53
116793,Mustafa Suzan,M,27,175,82
116794,Suzana Ferreira da Silva,F,26,153,49
116795,Yury Suzdaltsev,M,22,173,69
116796,Danabek Zhumagulovich Suzhanov,M,27,181,75
116797,Akihiko Suzuki,M,27,172,63
116798,Akiko Suzuki,F,24,160,47
116799,Ayaka Suzuki,F,26,168,65
116800,Ayuko Suzuki,F,24,154,38
116801,Daichi Suzuki,M,17,180,68
116802,Daikichi Suzuki,M,NA,NA,NA
116803,Daisuke Suzuki,M,22,181,74
116804,Eitaro Suzuki,M,NA,NA,NA
116805,Emiko Suzuki,F,22,168,57
116806,Fumihiro Suzuki,M,25,181,72
116807,Fusashige Suzuki,M,22,162,54
116808,Fuyuko Suzuki (-Tachizaki),F,21,162,59
116809,Hideo Suzuki,M,22,174,67
116810,Hideto Suzuki,M,21,180,70
116811,Hiromi Suzuki,F,23,155,43
116812,Hiroshi Suzuki,M,18,NA,NA
116813,Hiroshi Suzuki,M,20,173,81
116814,Hiroyuki Suzuki,M,28,167,64
116815,Hisatsugu Suzuki,M,21,180,70
116816,Keiichi Suzuki,M,21,171,72
116817,Keiji Suzuki,M,24,185,100
116818,Kenichi Suzuki,M,23,188,126
116819,Kunio Suzuki,M,24,180,84
116820,Manabu Suzuki,M,29,169,63
116821,Masaki Suzuki,M,23,167,69
116822,Mitsuhiro Suzuki,M,25,168,68
116823,Monta Suzuki,M,23,NA,NA
116824,Musashi Suzuki,M,22,185,75
116825,Raita Suzuki,M,28,168,52
116826,Rina Suzuki,F,23,160,55
116827,Ryozo Suzuki,M,25,173,65
116828,Satomi Suzuki,F,21,168,62
116829,Sena Suzuki,F,22,166,57
116830,Shigeharu Suzuki,M,22,NA,NA
116831,Shinetsu Suzuki,M,21,165,57
116832,Shinichiro Suzuki,M,22,NA,NA
116833,Shinri Suzuki,M,29,170,60
116834,Shosuke Suzuki,M,27,179,73
116835,Sujaku Suzuki,M,44,NA,NA
116836,Takao Suzuki,M,19,175,73
116837,Tsugumichi Suzuki,M,22,170,52
116838,Yasuhiro Suzuki,M,24,186,NA
116839,Yasuo Suzuki,M,23,NA,NA
116840,Yasushi Suzuki,M,21,173,70
116841,Yoshiteru Suzuki,M,26,NA,NA
116842,Yumiko Suzuki,F,28,168,65
116843,Yumiko Suzuki,F,31,163,57
116844,Yusuke Suzuki,M,24,169,57
116845,Suzy Bittencourt de Oliveira,F,29,169,63
116846,Filip vb,M,33,173,78
116847,Josef vb,M,27,181,82
116848,Max vabinsk,M,58,NA,NA
116849,Sompop Svadanandana,M,19,NA,NA
116850,Carl Otto Svae,M,38,172,60
116851,Christoffer Svae,M,27,189,NA
116852,Martin vagerko,M,16,180,71
116853,Karl Axel Thorvig Svahn,M,26,NA,NA
116854,Malin Erika Helena Svahnstrm (-Borensj),F,20,169,60
116855,"Antonia ""Tonia"" Svaier",F,20,182,72
116856,Anton vajlen,M,26,184,86
116857,ubomr vajlen,M,28,195,92
116858,Gunde Anders Svan,M,22,188,81
116859,Lasse Jemon Svan Hansen,M,28,185,85
116860,"Johan Frithiof Isidor ""John"" Svanberg (-Swanberg)",M,24,168,59
116861,Kurt Erik Gustaf Svanberg,M,34,NA,NA
116862,Heidi Kristiina Svanborg,F,30,170,56
116863,Ladislav vanda,M,28,176,75
116864,Rostyslav Albertovych Svanidze,M,24,194,85
116865,Aivis vns,M,24,183,82
116866,Aadolf Fredrik Svanstrm,M,22,179,70
116867,Lars Ragnar Svantesson,M,19,NA,NA
116868,Nereo N. Svara,M,24,188,87
116869,Pemysl varc,M,27,177,66
116870,Hildegarde varce (-Geela),F,28,NA,NA
116871,Nils Edvard Svrd,M,23,185,NA
116872,Anna Maria Svrd-Le Moine (Bergstrm-),F,32,165,59
116873,Miloslav vaek,M,21,NA,71
116874,Pernille Svarre Nielsen,F,38,167,56
116875,Henrik Svarrer,M,28,178,77
116876,Jens Arne Svartedal,M,29,181,62
116877,Dmitry Valeryevich Svatkovsky,M,20,188,79
116878,Jan Svato,M,25,NA,NA
116879,Marek Svato,M,23,180,82
116880,Vignir Svavarsson,M,32,198,101
116881,Ji vec,M,24,162,57
116882,Josef vec,M,21,NA,NA
116883,Marek vec,M,23,186,96
116884,Lucie Svcen,F,18,175,60
116885,Anastasiya Svechnikova,F,15,169,60
116886,Jan vda,M,25,183,81
116887,Hans Ingemar Svedberg,M,28,NA,NA
116888,Jan Lennart Svedberg,M,23,183,75
116889,Per Vilhelm Rudolf Svedberg,M,25,NA,NA
116890,Ruth Augusta Svedberg,F,25,NA,NA
116891,Frida Anna Linna Svedin-Thunstrm,F,20,172,75
116892,sa Elisabeth Svedmark,F,18,164,58
116893,Ludmila vdov (Schnov-),F,23,158,55
116894,Nikolajs vedrvics,M,21,NA,NA
116895,Ladislav vehla,M,NA,NA,NA
116896,Petr vehla,M,28,167,60
116897,Rbert vehla,M,23,186,86
116898,Paul Joseph Thomas Svehlik,M,25,189,85
116899,Lra Sveinsdttir,F,17,175,63
116900,Elas Rnar Sveinsson,M,24,NA,NA
116901,Geir Sveinsson,M,24,193,90
116902,Jakob Jhann Sveinsson,M,17,186,80
116903,Sigurur Sveinsson,M,25,192,87
116904,Trausti Sveinsson,M,33,NA,NA
116905,rhallur Sveinsson,M,19,NA,NA
116906,Sren Svejstrup,M,26,179,77
116907,Haris veminas,M,NA,NA,NA
116908,Knut Arvid Svendel,M,24,NA,NA
116909,Sally Svendelin,F,32,166,64
116910,Tor Svendsberget,M,24,174,63
116911,Axel Valdemar Svendsen,M,24,NA,NA
116912,Bodil Margrethe Svendsen (Thirstedt-),F,35,NA,NA
116913,Cathrine Svendsen (-Roll-Mathiesen),F,20,182,76
116914,Christian Valdemar Svendsen (-Hauer),M,21,NA,NA
116915,Elvi Johanne Svendsen (-Carlsen),F,16,NA,NA
116916,Emil Hegle Svendsen,M,20,185,77
116917,Gunnar Edvin Svendsen,M,32,NA,NA
116918,Sigur Harry Svendsen (-Aspestrand),M,17,NA,NA
116919,"Janet Anne ""Jan"" Svendsen",F,23,183,82
116920,Jon Howard Svendsen,M,30,190,93
116921,Kim Gunnar Svendsen,M,20,175,63
116922,Markus Anton Svendsen,M,26,NA,NA
116923,Ole Hyldgaard Svendsen,M,28,173,67
116924,Poul Verner Svendsen,M,25,NA,NA
116925,Therese Sandra Svendsen,F,23,180,73
116926,Sven Ludwig Svennerstl,M,21,184,72
116927,Anna Malvina Svennung,F,31,178,74
116928,Alf Erik Gillis Svensn,M,26,NA,NA
116929,Helge Svensen,M,22,178,65
116930,Carsten Svensgaard,M,27,184,90
116931,Per ke Bertil Svenson,M,23,185,73
116932,Ole Thorbjrn Svenssen,M,28,NA,NA
116933,Anders Lennart Svensson,M,23,180,80
116934,Annica Birgitta Teres Svensson,F,29,166,60
116935,Artur Hjalmar Slve Svensson,M,23,NA,NA
116936,sa Elisabeth Irene Svensson (-Karlsson),F,25,163,55
116937,Camilla Marie Svensson (-Gustafsson),F,27,NA,NA
116938,Carl Gustaf Gunnar Svensson,M,26,NA,NA
116939,Carl-Enock Svensson,M,25,NA,NA
116940,John David Svensson (-Gabrielsson),M,22,189,87
116941,Egon Edvin Roland Svensson,M,22,NA,NA
116942,John Einar Svensson,M,25,NA,NA
116943,Ellenor Susanne Svensson (-Lindroth),F,21,177,NA
116944,Karl Eric Emanuel Svensson,M,24,180,75
116945,Frida Linna Johanna Svensson,F,22,181,75
116946,Konrad Martin Fritiof Svensson,M,23,NA,NA
116947,Karl Georg Henry Svensson (-Sollermark),M,27,NA,NA
116948,Sven Gerry Tony Svensson,M,26,169,70
116949,Gsta Bernhard Svensson,M,22,190,81
116950,Gottfrid Cervantius Svensson,M,22,NA,NA
116951,Sven Gunnar Svensson,M,23,176,71
116952,Gustaf Arthur Leopold Svensson,M,38,NA,NA
116953,Hans Erik Ingemar Svensson,M,20,199,103
116954,Hugo Adolf Aron Svensson,M,21,180,75
116955,Barbro Ing-Marie Svensson (-Blom),F,18,172,60
116956,Karl Ingemar Svensson,M,23,NA,NA
116957,Ivar Samuel Svensson,M,18,NA,NA
116958,Karl Oskar Svensson,M,26,NA,NA
116959,Karl-Erik Svensson,M,21,NA,NA
116960,Karl-Gustaf Evald Svensson,M,44,NA,NA
116961,Karl-Johan Svensson (Sarland),M,21,NA,NA
116962,Kjell Gustaf Svensson,M,21,176,72
116963,Lars ke Svensson,M,25,NA,NA
116964,Jan Lennart Svensson,M,22,155,48
116965,Britta Madelein Svensson (-Strmqvist),F,23,168,52
116966,Lars Magnus Svensson,M,30,180,80
116967,Per Malcolm Svensson,M,34,NA,NA
116968,Erik Marcus Svensson,M,22,176,68
116969,Marie Kristin Svensson,F,24,176,68
116970,Mats Gunnar Svensson,M,21,185,75
116971,Per Oskar Svensson,M,21,188,105
116972,Sten Ragnar Svensson,M,26,186,110
116973,Ragnar Ossian Svensson,M,37,NA,NA
116974,Roland Krister Svensson,M,23,165,57
116975,Tage Rolf Svensson,M,37,179,70
116976,Johan Rudolf Svensson,M,25,NA,NA
116977,Karl Johan Sigurd Svensson,M,35,NA,NA
